epoch,loss,val_loss,lr,train.batch_size,train.epoch_size,train.crop_shape,val.batch_size,val.epoch_size,val.crop_shape,seconds
0,0.6634292006492615,0.6601192355155945,9.999999747378752e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",257.77021193504333
1,0.6415377855300903,0.5707630515098572,0.00012328466982580721,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",54.15051579475403
2,0.36986467242240906,0.3030254542827606,0.00015199110202956945,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",54.90416646003723
3,0.2973361611366272,0.3025323152542114,0.00018738173821475357,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",54.4303252696991
4,0.2985703647136688,0.30252939462661743,0.00023101296392269433,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",54.715651512145996
5,0.2988542914390564,0.30252930521965027,0.00028480359469540417,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",54.69890093803406
6,0.29850631952285767,0.30252939462661743,0.0003511191753204912,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",53.88292050361633
7,0.2978578805923462,0.30252939462661743,0.00043287614244036376,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",53.84140372276306
8,0.2919948697090149,0.30252936482429504,0.0005336698959581554,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",54.216777324676514
9,0.29925936460494995,0.30252936482429504,0.0006579332402907312,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",53.7954785823822
10,0.2974761128425598,0.30252936482429504,0.0008111308561637998,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",54.517128229141235
11,0.2998204231262207,0.30252936482429504,0.0010000000474974513,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",53.79681038856506
12,0.2963055670261383,0.30252936482429504,0.0010000000474974513,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",54.17716312408447
13,0.2975219190120697,0.30252933502197266,0.0009426684700883925,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",53.981837034225464
14,0.2983681261539459,0.30252936482429504,0.0008886238210834563,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",54.30896067619324
15,0.295584499835968,0.30252939462661743,0.0008376776240766048,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",54.14542055130005
16,0.2972382605075836,0.30252939462661743,0.0007896522874943912,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",53.94748091697693
17,0.294452041387558,0.30252939462661743,0.0007443802896887064,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",54.298851013183594
18,0.2998175024986267,0.30252939462661743,0.000701703829690814,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",54.39532780647278
19,0.29613053798675537,0.30252939462661743,0.0006614740705117583,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",53.74907970428467
20,0.2954484522342682,0.30252939462661743,0.0006235507316887379,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",54.30830430984497
21,0.29887038469314575,0.30252939462661743,0.0005878016236238182,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",54.22453236579895
22,0.29893574118614197,0.30252939462661743,0.0005541020072996616,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",54.5244882106781
