epoch,loss,val_loss,lr,train.batch_size,train.epoch_size,train.crop_shape,val.batch_size,val.epoch_size,val.crop_shape,seconds
0,0.5029040575027466,0.6565912961959839,9.999999747378752e-05,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",335.569739818573
1,0.3610348105430603,0.6449924111366272,0.00012915497063659132,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",58.050100326538086
2,0.22181491553783417,0.6313289403915405,0.00016681005945429206,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",58.321165323257446
3,0.10814587771892548,0.615913450717926,0.00021544346236623824,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",58.07292556762695
4,0.06572077423334122,0.5988759398460388,0.00027825593133457005,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",57.42941379547119
5,0.052460990846157074,0.5811518430709839,0.00035938137443736196,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",57.691112756729126
6,0.04062565043568611,0.5630085468292236,0.00046415888937190175,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",57.75283885002136
7,0.036552753299474716,0.5442006587982178,0.0005994842504151165,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",57.85753393173218
8,0.035041239112615585,0.5247356295585632,0.0007742636953480542,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",57.94992780685425
9,0.03140685707330704,0.5045135617256165,0.0010000000474974513,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",58.119718074798584
10,0.030036380514502525,0.4843416213989258,0.0010000000474974513,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",57.355061054229736
11,0.02957032062113285,0.46439382433891296,0.0010000000474974513,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",57.22624373435974
12,0.026794984936714172,0.4448067247867584,0.0010000000474974513,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",58.15115261077881
13,0.026932913810014725,0.42545953392982483,0.0010000000474974513,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",57.17371153831482
14,0.027115995064377785,0.4067448377609253,0.0010000000474974513,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",57.29916715621948
15,0.0249326191842556,0.38906213641166687,0.0010000000474974513,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",57.177956104278564
16,0.023630637675523758,0.37211161851882935,0.0010000000474974513,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",57.203986167907715
17,0.02268693968653679,0.35649237036705017,0.0010000000474974513,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",57.401140213012695
18,0.023295933380723,0.3423406481742859,0.0010000000474974513,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",57.12764501571655
19,0.022479239851236343,0.3295588195323944,0.0010000000474974513,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",57.23657536506653
20,0.021442363038659096,0.3190987706184387,0.0010000000474974513,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",56.72802996635437
21,0.02070094272494316,0.309511661529541,0.0010000000474974513,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",57.31602644920349
22,0.020964279770851135,0.3006134629249573,0.0010000000474974513,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",57.801244258880615
23,0.02043398842215538,0.2927497923374176,0.0010000000474974513,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",56.87850856781006
24,0.02065424621105194,0.28579631447792053,0.0010000000474974513,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",57.30290102958679
25,0.020301908254623413,0.2804184556007385,0.0010000000474974513,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",57.35891103744507
26,0.019796893000602722,0.2746884524822235,0.0010000000474974513,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",56.85039734840393
27,0.02044619619846344,0.2697617709636688,0.0010000000474974513,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",57.46490788459778
28,0.018668342381715775,0.2647846043109894,0.0010000000474974513,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",57.723819971084595
29,0.019393086433410645,0.25925177335739136,0.0010000000474974513,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",57.11173868179321
30,0.01909601129591465,0.2550972104072571,0.0010000000474974513,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",56.473073959350586
