epoch,loss,val_loss,lr,train.batch_size,train.epoch_size,train.crop_shape,val.batch_size,val.epoch_size,val.crop_shape,seconds
0,0.695492148399353,0.6760847568511963,9.999999747378752e-05,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",266.28531861305237
1,0.6511049270629883,0.608914315700531,0.00012915497063659132,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",56.67560601234436
2,0.4898337721824646,0.33822759985923767,0.00016681005945429206,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",56.7071750164032
3,0.30590274930000305,0.3165498375892639,0.00021544346236623824,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",56.86551308631897
4,0.2928847074508667,0.31625351309776306,0.00027825593133457005,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",57.092854261398315
5,0.30610769987106323,0.3162505030632019,0.00035938137443736196,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",57.622946977615356
6,0.29138606786727905,0.3162473440170288,0.00046415888937190175,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",57.27462387084961
7,0.30083316564559937,0.3162459433078766,0.0005994842504151165,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",57.16477155685425
8,0.30436867475509644,0.3162460923194885,0.0007742636953480542,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",57.27959084510803
9,0.30580490827560425,0.31624606251716614,0.0010000000474974513,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",57.47785449028015
10,0.3016090989112854,0.3162460923194885,0.0010000000474974513,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",57.429624795913696
11,0.30544111132621765,0.31624600291252136,0.0010000000474974513,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",55.72398352622986
12,0.3005453646183014,0.31624603271484375,0.0010000000474974513,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",56.03151249885559
13,0.29899635910987854,0.31624606251716614,0.0010000000474974513,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",57.180376052856445
14,0.3032722473144531,0.316245973110199,0.0010000000474974513,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",55.994800329208374
15,0.29486265778541565,0.31624606251716614,0.0010000000474974513,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",55.83165144920349
16,0.2988021969795227,0.31624603271484375,0.0010000000474974513,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",56.38718342781067
17,0.2996060848236084,0.316245973110199,0.0010000000474974513,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",56.4800443649292
18,0.30300694704055786,0.3162460923194885,0.0010000000474974513,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",56.162024974823
19,0.3081884980201721,0.31624603271484375,0.0010000000474974513,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",56.54558730125427
20,0.29420313239097595,0.316245973110199,0.0010000000474974513,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",56.76906704902649
21,0.29633769392967224,0.31624606251716614,0.0010000000474974513,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",57.10565757751465
22,0.29816150665283203,0.3162460923194885,0.0010000000474974513,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",56.93788552284241
23,0.29651230573654175,0.316245973110199,0.0010000000474974513,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",57.12950801849365
24,0.3054685592651367,0.31624630093574524,0.0010000000474974513,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",57.1999397277832
25,0.29356852173805237,0.31624630093574524,0.0010000000474974513,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",57.60636854171753
26,0.30143675208091736,0.3162459433078766,0.0010000000474974513,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",56.618244886398315
27,0.3001142740249634,0.3162461221218109,0.0010000000474974513,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",56.39343023300171
28,0.2973287105560303,0.316245973110199,0.0010000000474974513,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",57.12080478668213
29,0.2943338453769684,0.316245973110199,0.0010000000474974513,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",56.98041272163391
30,0.295630544424057,0.31624603271484375,0.0010000000474974513,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",56.58160400390625
31,0.29774466156959534,0.316245973110199,0.0007742636953480542,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",56.82353472709656
32,0.2979893088340759,0.3162459433078766,0.0005994842504151165,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",57.35005259513855
33,0.29859691858291626,0.31624603271484375,0.00046415888937190175,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",56.025346755981445
34,0.29612457752227783,0.31624603271484375,0.00035938137443736196,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",56.57622694969177
35,0.297418475151062,0.31624603271484375,0.00027825593133457005,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",56.86867928504944
36,0.29697638750076294,0.31624606251716614,0.00021544346236623824,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",56.437222957611084
37,0.29850196838378906,0.31624603271484375,0.00016681005945429206,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",57.45918798446655
38,0.29350709915161133,0.31624606251716614,0.00012915497063659132,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",56.55320692062378
39,0.30543163418769836,0.3162458837032318,9.999999747378752e-05,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",57.92913818359375
40,0.2978340983390808,0.31624600291252136,9.999999747378752e-05,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",56.851006269454956
41,0.30250197649002075,0.31624603271484375,0.0001128837902797386,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",57.08124279975891
42,0.30482354760169983,0.316245973110199,0.00012742749822791666,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",56.61272597312927
43,0.29641932249069214,0.31624600291252136,0.00014384498354047537,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",55.887139081954956
44,0.2948485016822815,0.31624603271484375,0.00016237767704296857,16,10,"(144, 144, 5)",16,1200,"(144, 144, 5)",56.21926283836365
